product,provider_symbol,contract_year,contract_month,expiry_date,planned_roll_date,roll_method,selected_roll_date
MNQ,MNQU1,2021,9,2021-09-17,2021-09-10,pending_volume_crossover,
MNQ,MNQZ1,2021,12,2021-12-17,2021-12-10,pending_volume_crossover,
MNQ,MNQH2,2022,3,2022-03-18,2022-03-11,pending_volume_crossover,
MNQ,MNQM2,2022,6,2022-06-17,2022-06-10,pending_volume_crossover,
MNQ,MNQU2,2022,9,2022-09-16,2022-09-09,pending_volume_crossover,
MNQ,MNQZ2,2022,12,2022-12-16,2022-12-09,pending_volume_crossover,
MNQ,MNQH3,2023,3,2023-03-17,2023-03-10,pending_volume_crossover,
MNQ,MNQM3,2023,6,2023-06-16,2023-06-09,pending_volume_crossover,
MNQ,MNQU3,2023,9,2023-09-15,2023-09-08,pending_volume_crossover,
MNQ,MNQZ3,2023,12,2023-12-15,2023-12-08,pending_volume_crossover,
MNQ,MNQH4,2024,3,2024-03-15,2024-03-08,pending_volume_crossover,
MNQ,MNQM4,2024,6,2024-06-21,2024-06-14,pending_volume_crossover,
MNQ,MNQU4,2024,9,2024-09-20,2024-09-13,pending_volume_crossover,
MNQ,MNQZ4,2024,12,2024-12-20,2024-12-13,pending_volume_crossover,
MNQ,MNQH5,2025,3,2025-03-21,2025-03-14,pending_volume_crossover,
MNQ,MNQM5,2025,6,2025-06-20,2025-06-13,pending_volume_crossover,
MNQ,MNQU5,2025,9,2025-09-19,2025-09-12,pending_volume_crossover,
MNQ,MNQZ5,2025,12,2025-12-19,2025-12-12,pending_volume_crossover,
MNQ,MNQH6,2026,3,2026-03-20,2026-03-13,pending_volume_crossover,
MNQ,MNQM6,2026,6,2026-06-19,2026-06-12,pending_volume_crossover,
MNQ,MNQU6,2026,9,2026-09-18,2026-09-11,pending_volume_crossover,
