session_date,planned_front_symbol,planned_next_symbol,observed_symbols,actual_previous_symbol,actual_next_symbol,actual_switch_utc,actual_switch_et,gap_points,gap_ticks,action
2021-09-14,MNQU1,MNQZ1,MNQU1|MNQZ1,MNQU1,MNQZ1,2021-09-14T04:00:00+00:00,2021-09-14T00:00:00-04:00,-7.0,-28.0,exclude_roll_session
2021-12-14,MNQZ1,MNQH2,MNQZ1|MNQH2,MNQZ1,MNQH2,2021-12-14T05:00:00+00:00,2021-12-14T00:00:00-05:00,-0.75,-3.0,exclude_roll_session
2022-03-16,MNQH2,MNQM2,MNQH2|MNQM2,MNQH2,MNQM2,2022-03-16T04:00:00+00:00,2022-03-16T00:00:00-04:00,-3.75,-15.0,exclude_roll_session
2022-06-15,MNQM2,MNQU2,MNQM2|MNQU2,MNQM2,MNQU2,2022-06-15T04:00:00+00:00,2022-06-15T00:00:00-04:00,33.0,132.0,exclude_roll_session
2022-09-14,MNQU2,MNQZ2,MNQU2|MNQZ2,MNQU2,MNQZ2,2022-09-14T04:00:00+00:00,2022-09-14T00:00:00-04:00,80.0,320.0,exclude_roll_session
2022-12-14,MNQZ2,MNQH3,MNQZ2|MNQH3,MNQZ2,MNQH3,2022-12-14T05:00:00+00:00,2022-12-14T00:00:00-05:00,119.0,476.0,exclude_roll_session
2023-03-15,MNQH3,MNQM3,MNQH3|MNQM3,MNQH3,MNQM3,2023-03-15T04:00:00+00:00,2023-03-15T00:00:00-04:00,128.0,512.0,exclude_roll_session
2023-06-14,MNQM3,MNQU3,MNQM3|MNQU3,MNQM3,MNQU3,2023-06-14T04:00:00+00:00,2023-06-14T00:00:00-04:00,183.75,735.0,exclude_roll_session
2023-09-13,MNQU3,MNQZ3,MNQU3|MNQZ3,MNQU3,MNQZ3,2023-09-13T04:00:00+00:00,2023-09-13T00:00:00-04:00,194.5,778.0,exclude_roll_session
2023-12-14,MNQZ3,MNQH4,MNQZ3|MNQH4,MNQZ3,MNQH4,2023-12-14T05:00:00+00:00,2023-12-14T00:00:00-05:00,210.75,843.0,exclude_roll_session
2024-03-13,MNQH4,MNQM4,MNQH4|MNQM4,MNQH4,MNQM4,2024-03-13T04:00:00+00:00,2024-03-13T00:00:00-04:00,248.75,995.0,exclude_roll_session
2024-06-19,MNQM4,MNQU4,MNQM4|MNQU4,MNQM4,MNQU4,2024-06-19T04:00:00+00:00,2024-06-19T00:00:00-04:00,276.0,1104.0,exclude_roll_session
2024-09-18,MNQU4,MNQZ4,MNQU4|MNQZ4,MNQU4,MNQZ4,2024-09-18T04:00:00+00:00,2024-09-18T00:00:00-04:00,238.0,952.0,exclude_roll_session
2024-12-19,MNQZ4,MNQH5,MNQZ4|MNQH5,MNQZ4,MNQH5,2024-12-19T05:00:00+00:00,2024-12-19T00:00:00-05:00,274.25,1097.0,exclude_roll_session
2025-03-20,MNQH5,MNQM5,MNQH5|MNQM5,MNQH5,MNQM5,2025-03-20T04:00:00+00:00,2025-03-20T00:00:00-04:00,208.5,834.0,exclude_roll_session
2025-06-18,MNQM5,MNQU5,MNQM5|MNQU5,MNQM5,MNQU5,2025-06-18T04:00:00+00:00,2025-06-18T00:00:00-04:00,222.5,890.0,exclude_roll_session
2025-09-18,MNQU5,MNQZ5,MNQU5|MNQZ5,MNQU5,MNQZ5,2025-09-18T04:00:00+00:00,2025-09-18T00:00:00-04:00,242.25,969.0,exclude_roll_session
2025-12-18,MNQZ5,MNQH6,MNQZ5|MNQH6,MNQZ5,MNQH6,2025-12-18T05:00:00+00:00,2025-12-18T00:00:00-05:00,227.0,908.0,exclude_roll_session
2026-03-19,MNQH6,MNQM6,MNQH6|MNQM6,MNQH6,MNQM6,2026-03-19T04:00:00+00:00,2026-03-19T00:00:00-04:00,215.0,860.0,exclude_roll_session
2026-06-17,MNQM6,MNQU6,MNQM6|MNQU6,MNQM6,MNQU6,2026-06-17T04:00:00+00:00,2026-06-17T00:00:00-04:00,316.0,1264.0,exclude_roll_session
