session_date,split,expected_session,expected_open_utc,expected_close_utc,expected_open_et,expected_close_et,is_early_close,calendar_override,calendar_note,expected_minutes,expected_rth_minutes,observed_rows,observed_unique_minutes,missing_minutes,missing_rth_minutes,unexpected_minutes,invalid_rows,exact_duplicate_rows_removed,conflicting_duplicate_keys,symbol_count,symbols,contract_transitions,first_missing_utc,last_missing_utc,largest_missing_run_minutes,quality_status,session_usable,severity,exclusion_reasons
2021-07-28,development,True,2021-07-27T22:00:00+00:00,2021-07-28T21:00:00+00:00,2021-07-27T18:00:00-04:00,2021-07-28T17:00:00-04:00,False,False,,1380,390,1020,1020,360,0,0,0,0,0,1,MNQU1,0,2021-07-27T22:00:00+00:00,2021-07-28T03:59:00+00:00,360,excluded,False,high,missing_expected_minutes
2021-07-29,development,True,2021-07-28T22:00:00+00:00,2021-07-29T21:00:00+00:00,2021-07-28T18:00:00-04:00,2021-07-29T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-07-30,development,True,2021-07-29T22:00:00+00:00,2021-07-30T21:00:00+00:00,2021-07-29T18:00:00-04:00,2021-07-30T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-02,development,True,2021-08-01T22:00:00+00:00,2021-08-02T21:00:00+00:00,2021-08-01T18:00:00-04:00,2021-08-02T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-03,development,True,2021-08-02T22:00:00+00:00,2021-08-03T21:00:00+00:00,2021-08-02T18:00:00-04:00,2021-08-03T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-04,development,True,2021-08-03T22:00:00+00:00,2021-08-04T21:00:00+00:00,2021-08-03T18:00:00-04:00,2021-08-04T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-05,development,True,2021-08-04T22:00:00+00:00,2021-08-05T21:00:00+00:00,2021-08-04T18:00:00-04:00,2021-08-05T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-06,development,True,2021-08-05T22:00:00+00:00,2021-08-06T21:00:00+00:00,2021-08-05T18:00:00-04:00,2021-08-06T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-09,development,True,2021-08-08T22:00:00+00:00,2021-08-09T21:00:00+00:00,2021-08-08T18:00:00-04:00,2021-08-09T17:00:00-04:00,False,False,,1380,390,1379,1379,1,0,0,0,0,0,1,MNQU1,0,2021-08-09T20:56:00+00:00,2021-08-09T20:56:00+00:00,1,excluded,False,high,missing_expected_minutes
2021-08-10,development,True,2021-08-09T22:00:00+00:00,2021-08-10T21:00:00+00:00,2021-08-09T18:00:00-04:00,2021-08-10T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-11,development,True,2021-08-10T22:00:00+00:00,2021-08-11T21:00:00+00:00,2021-08-10T18:00:00-04:00,2021-08-11T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-12,development,True,2021-08-11T22:00:00+00:00,2021-08-12T21:00:00+00:00,2021-08-11T18:00:00-04:00,2021-08-12T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-13,development,True,2021-08-12T22:00:00+00:00,2021-08-13T21:00:00+00:00,2021-08-12T18:00:00-04:00,2021-08-13T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-16,development,True,2021-08-15T22:00:00+00:00,2021-08-16T21:00:00+00:00,2021-08-15T18:00:00-04:00,2021-08-16T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-17,development,True,2021-08-16T22:00:00+00:00,2021-08-17T21:00:00+00:00,2021-08-16T18:00:00-04:00,2021-08-17T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-18,development,True,2021-08-17T22:00:00+00:00,2021-08-18T21:00:00+00:00,2021-08-17T18:00:00-04:00,2021-08-18T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-19,development,True,2021-08-18T22:00:00+00:00,2021-08-19T21:00:00+00:00,2021-08-18T18:00:00-04:00,2021-08-19T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-20,development,True,2021-08-19T22:00:00+00:00,2021-08-20T21:00:00+00:00,2021-08-19T18:00:00-04:00,2021-08-20T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-23,development,True,2021-08-22T22:00:00+00:00,2021-08-23T21:00:00+00:00,2021-08-22T18:00:00-04:00,2021-08-23T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-24,development,True,2021-08-23T22:00:00+00:00,2021-08-24T21:00:00+00:00,2021-08-23T18:00:00-04:00,2021-08-24T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-25,development,True,2021-08-24T22:00:00+00:00,2021-08-25T21:00:00+00:00,2021-08-24T18:00:00-04:00,2021-08-25T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-26,development,True,2021-08-25T22:00:00+00:00,2021-08-26T21:00:00+00:00,2021-08-25T18:00:00-04:00,2021-08-26T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-27,development,True,2021-08-26T22:00:00+00:00,2021-08-27T21:00:00+00:00,2021-08-26T18:00:00-04:00,2021-08-27T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-30,development,True,2021-08-29T22:00:00+00:00,2021-08-30T21:00:00+00:00,2021-08-29T18:00:00-04:00,2021-08-30T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
2021-08-31,development,True,2021-08-30T22:00:00+00:00,2021-08-31T21:00:00+00:00,2021-08-30T18:00:00-04:00,2021-08-31T17:00:00-04:00,False,False,,1380,390,1380,1380,0,0,0,0,0,0,1,MNQU1,0,,,0,pass,True,none,
